Location,Retail_Name
1,Kong Ming Pandan Indah Restaurant
1,Crave Oyster & Seafood House Sdn Bhd
1,Restoran Makanan Laut Hiong Pan
1,Tea Garden Restaurant (sp) Sdn. Bhd.
1,Alanna Kitchen
1,Restoran Ariff
1,Oldtown Kopitiam Sdn Bhd
1,Restoran Xin Wah
1,Rex Dimention Cafe
1,Berjaya Starbucks Coffee Company Sdn Bhd
1,Monte Gelato Cafe Sdn. Bhd.
1,Fatty Hong Fish Head Restaurant
1,Restoran Amber
1,Mamak Bistro Satu Malaysia
1,Lyl Roy Restaurant
1,Restoran Al Sathik Maju
1,Well Fortunes Restaurant
1,Restoran Nasi Kandar Hameeds Maju
1,Yasmin Cafe & Food Court
1,Sushi Jiro Sdn Bhd
1,Pandan Avenue Cafe
1,G&g Cafe
1,Ksee Hospitality Sdn. Bhd.
1,Restoran Mamak Bistro
1,Secret Recipe Cakes & Cafe Sdn Bhd
1,Kapalaya Tomyam
1,Restoran Pee Nong
1,Smith Success Sdn Bhd
1,Smith Success Sdn Bhd
1,Empire Sushi Group Sdn Bhd
1,Zen House Sdn Bhd
1,The Esquire Kitchen Sdn Bhd
1,Ovi's Cafe (M) Sdn Bhd
1,Restoran Mk Bistro
1,Kam Yuen Food Cuisine Sdn Bhd
1,M & G Bbq
1,Nurin Food Corner
1,Ahoang Vietnamese Restaurant
1,JP Delizia Sdn Bhd
1,Restoran Tsim Tung Sdn Bhd
1,Little Cravings Sdn Bhd
1,GC Shamelin Sdn Bhd
1,Naresh Global Concepts Sdn Bhd
1,Naresh Global Concepts Sdn Bhd
1,Naresh Global Concepts Sdn Bhd
1,Naresh Global Concepts Sdn Bhd
1,Naresh Global Concepts Sdn Bhd
1,Golden Dragonboat Restaurant (Imbi) Sdn Bhd
1,QSR Brands (M) Holdings Sdn Bhd
1,Pizza Hut Restaurants Sdn Bhd - (Tesco Extra Ampang)
1,Pizza Hut Restaurants Sdn Bhd - (Taman Maluri)
1,Pizza Hut Restaurants Sdn Bhd - (Mytown Mall)
1,Pizza Hut Restaurants Sdn Bhd - (Sunway Velocity Mall)
1,De'western Tangers Sdn Bhd
1,Central Curry House
1,Cosmo Restaurants Sdn Bhd
1,Dome Cafe Sdn Bhd
1,Sushi Kin Sdn Bhd
1,The Coffee Bean & Tea Leaf (M) Sdn Bhd - Sunway Velocity Mall
1,Nando's Chickenland Malaysia Sdn Bhd
1,Phd Delivery Pandan Jaya
1,Blk Market Sdn Bhd
1,Hometown F&B (Sepang) Sdn Bhd
1,Sukiya (Sunway Velocity)
1,Gloria Jean's RHB Bank
1,OldTown White Coffee (1 Shamelin Mall)
1,OldTown White Coffee Axis Atrium
1,Pizza Hut Tesco Ampang
1,Domino's Pizza (PANDAN JAYA)
1,Domino's Pizza (MALURI)
1,KFC Tesco Ampang
2,Empire Sushi Group Sdn Bhd
2,Restoran Sri Visalatchis
2,Top Great Restaurant
2,Lojeena Global Sdn Bhd
2,Chrisna Jenio Sdn Bhd - Sogo
2,Abs One Bistro Sdn. Bhd.
2,Restoran Han Kee
2,Restoran Al Jamil Maju
2,Nando's Chickenland Malaysia Sdn Bhd
2,The Coffee Bean & Tea Leaf (M) Sdn Bhd - Bangsar Shopping Centre
2,Tamarind Cafe Sdn Bhd
2,Golden Arches Restaurants Sdn
2,Golden Arches Restaurants Sdn
2,Oriental Magic Restaurant Sdn Bhd
2,Restoran Se
2,Chinaz Cafe
2,Leaf Cafe Sdn. Bhd.
2,Berjaya Starbucks Coffee Company Sdn Bhd
2,Berjaya Starbucks Coffee Company Sdn Bhd
2,Berjaya Starbucks Coffee Company Sdn Bhd
2,Berjaya Starbucks Coffee Company Sdn Bhd
2,Berjaya Starbucks Coffee Company Sdn Bhd
2,Berjaya Starbucks Coffee Company Sdn Bhd
2,Restoran Azf
2,Nuocean Sdn Bhd
2,Golden Dunes Restaurants Sdn Bhd
2,Four Art Cafe
2,Happy Togo Cafe
2,Pu Xian Wei Restaurant Sdn. Bhd.
2,Adz Services & Management
2,ST-Taikem Sdn Bhd
2,Adam Dal Fried Sdn Bhd
2,Loke Fatt Restaurant
2,Cap Hospitality Sdn. Bhd.
2,Restoran Nasi Kandar Waseem
2,Grind Cafe
2,Soulmate Coffee & Cafe
2,Espressolab Asia Pacific Sdn Bhd
2,Eone Lahoi Htaw Sdn Bhd
2,Anjappar Restaurant Sdn Bhd
2,Ngwe Gabar Sdn Bhd
2,Harta Budimas Sdn Bhd
2,Smith Success Sdn Bhd
2,Serimas Konsortium Sdn Bhd
2,Deccan Arromas Sdn Bhd
2,Deccan Arromas Sdn Bhd
2,Pak' Le (M) Sdn Bhd
2,Berjaya Starbucks Coffee Company Sdn Bhd
2,Geographer Management Sdn Bhd
2,Obs Restaurants Malaysia Sdn Bhd
2,PSG Enterprise Sdn Bhd
2,Berjaya Roasters (M) Sdn Bhd
2,Weiru Integrated Sdn Bhd
2,Legend's Claypot Briyani House Sdn Bhd
2,Naresh Global Concepts Sdn Bhd
2,Naresh Global Concepts Sdn Bhd
2,Naresh Global Concepts Sdn Bhd
2,Naresh Global Concepts Sdn Bhd
2,Glamour Mission Sdn Bhd
2,Ah Yat Abalone Forum Restaurant Sdn Bhd
2,Super Sushi Sdn Bhd
2,Food Parcel Sdn Bhd
2,Vonstar Sdn Bhd
2,Danau Gemilang Sdn Bhd
2,Swiss D Lite
2,Restoran Al Masoud Sdn Bhd
2,Cosmo Restaurants Sdn Bhd
2,Cosmo Restaurants Sdn Bhd
2,Cosmo Restaurants Sdn Bhd
2,Restoran Home Wan
2,Wonderful Lifestyle Sdn Bhd
2,Wonderful Lifestyle Sdn Bhd
2,Wonderful Lifestyle Sdn Bhd
2,Wonderful Lifestyle Sdn Bhd
2,Old Town Kopitiam Sdn Bhd
2,Moghul Mahal Restaurant Sdn Bhd
2,Noble Magic Sdn Bhd
2,Sankalp Sdn Bhd
2,Husen Cafe
2,A&W (Malaysia) Sdn Bhd - Banda (Jln Tuanku Abdul Rahman)
2,Artisan Natural (M) Sdn Bhd
2,The Coffee Bean & Tea Leaf (M) Sdn Bhd - NU Sentral
2,Saigon Village Restaurant
2,Richroof Cafes Sdn Bhd
2,Nuocean Sdn Bhd
2,Nando's Chickenland Malaysia Sdn Bhd
2,Nando's Chickenland Malaysia Sdn Bhd
2,Berjaya Krispy Kreme Doughnuts Sdn Bhd
2,Restoran Pik Wah (Maba House) Sdn Bhd
2,Red Fiesta Sdn Bhd
2,Dommal Food Services Sdn Bhd
2,Champ's Express Heritage Sdn Bhd
2,HD Marketing & Distribution Sdn Bhd
2,Seribu Rasa (M) Sdn Bhd
2,Absolute Thai Sdn Bhd
2,Continental Gas Supplier
2,QUARTET NU SENTRAL
2,Walnut Cafe
2,San Francisco Coffee (Menara Dayabumi)
2,San Francisco Coffee (Menara AIA)
2,San Francisco Coffee (Menara Shell)
2,Gloria Jean's Coffee Wisma Sime Darby
2,OldTown White Coffee Central Market
2,OldTown White Coffee CIMB Menara Commerce
2,Gloria Jean's Coffee @ 1 Sentral
2,Gloria Jean's Coffee Persiaran Maybank
2,Marrybrown Pudu Sentral
2,Marrybrown Parkson Maju Junction
2,Marini's On 57
2,The Drawing Room
2,The Brasserie
2,A&W (Batu Road)
2,The Manhattan Fish Market (NU Sentral)
2,Domino's Pizza (DANG WANGI)
2,Domino's Pizza (BANGSAR)
2,The Chicken Rice Shop (Maju Junction )
2,The Chicken Rice Shop (KL Sentral )
2,KFC NU Sentral KL
2,KFC Pertama Complex
2,McDonald's M2 Mall
3,Restoran Fl Sdn. Bhd.
3,Jombali Sdn Bhd
3,Jiran Cafe
3,Pizza Hut Restaurants Sdn Bhd - ( Melawati Mall)
3,Pizza Hut Restaurants Sdn Bhd - (Wangsa Maju)
3,AZR Maju Food & Beverage
3,The Chemistry Cafe
3,Restoran Nasi Vanggey Kuala Lumpur
3,Zatimanis Restaurant
3,Restoran Pucuk Di Cita
3,Restoran Hasilath Food Corner
3,Hadramawt Kitchen Sdn. Bhd.
3,Berjaya Starbucks Coffee Company Sdn Bhd
3,Delicious Barbeque Sdn Bhd - (Melawati Mall)
3,Halwa Al Azra Cafe
3,Restoran Al Faiz Maju
3,Restoran Almaaz
3,Empire Sushi Group Sdn Bhd
3,Sakura Kristal Kafe & Restaurant
3,Resepi Nenek Kopitiam Sdn Bhd
3,Patatimo Sdn Bhd
3,Aspac Restaurant Sdn Bhd
3,Berjaya Roasters (M) Sdn Bhd
3,Kafe Skrin
3,Qsr Stores Sdn Bhd
3,NZ Retails Sdn Bhd
3,Berjaya Starbucks Coffee Company Sdn Bhd
3,Mosa Ventures Sdn Bhd
3,Restoran Ali Maju Sdn Bhd
3,Gourmet Chef Permata Sdn. Bhd.
3,Cosy Place Restaurant
3,Dynasun Sdn Bhd - (Aeon Wangsa Maju)
3,Ncr Concept Sdn Bhd
3,Pizza Hut Restaurants Sdn Bhd - (Taman Permata)
3,Mal Mubarak Bistro
3,Cosmo Restaurants Sdn Bhd
3,Jombali Sdn Bhd
3,Old Town Kopitiam Sdn Bhd
3,A&W (Malaysia) Sdn Bhd - Banda (Wangsa Walk)
3,Restoran Kak Chik
3,Sushi Kin Sdn Bhd
3,Silverwell Sdn Bhd
3,Mba Crew Sdn Bhd
3,Pops Eatery Sdn Bhd
3,Dommal Food Services Sdn Bhd
3,Dommal Food Services Sdn Bhd
3,Canton Kitchen Sdn Bhd
3,OldTown White Coffee Taman Permata
3,OldTown White Coffee Jusco AU2
3,OldTown White Coffee Jusco Alpha Angel
3,OldTown White Coffee Sri Rampai
3,Sushi King AEON Big Wangsa Maju
3,A&W (Wangsa Walk)
3,The Manhattan Fish Market (Wangsa Walk)
3,Domino's Pizza (WANGSA MAJU )
3,Domino's Pizza (SRI RAMPAI )
3,Domino's Pizza (MELAWATI)
3,The Chicken Rice Shop (Jusco AU2 )
3,The Chicken Rice Shop (Jusco Alpha Angle )
3,KFC Wangsa Maju
3,KFC Setiawangsa
3,Nando's Chicken AEON Alpha Angle
3,KFC Taman Melawati
3,Papparich (SRI RAMPAI)
3,Kenny Rogers Roasters Alpha Angle
3,McDonald's Setiawangsa DT
3,The Chicken Rice Shop (Aeon Big Wangsa Maju)
3,Secret Recipe (WANGSA WALK)
3,McDonald's Shell Ulu Kelang DT
3,KFC Wangsa Maju DT
3,KFC Plaza Giant Melawati
3,McDonald's Carrefour Wangsa Maju
3,Kenny Rogers Roasters Jusco Au2 Keramat
3,Restoran Baixian Sdn Bhd
3,Zuraina Abd Majid
3,Mohd Nasir M Yassin
3,Chan Seng Hoong
3,Restoran Seafood Thiam Hua
3,Al Nur Foods Indust Sdn Bhd
3,Nice Cafe
3,Butter Block KS
3,Circle F&B Sdn Bhd
3,Mutiara Ace Marketing Sdn Bhd
3,Kedai Ayamas @ Taman Melawati
4,Restoran Fl Sdn. Bhd.
4,Jombali Sdn Bhd
4,Cherry Five Internet Cafe
4,Wok And Eat Restaurant
4,Rk Bistro
4,Pizza Hut Restaurants Sdn Bhd - (Wisma Mutiara Genting)
4,Tree Garden Cafe Sdn. Bhd.
4,Suri Restaurant & Catering
4,Al Shahul Maju (M) Sdn Bhd
4,Snooker Soccer Cafe
4,Tny Cafe
4,Purple Violet Cafe
4,Restoran Al Hafeez Maju
4,Kim Kitchen
4,Little Wok Kitchen
4,Home Town Steamboat Holding Sdn Bhd
4,AZR Maju Food & Beverage
4,The Chemistry Cafe
4,Restoran Nasi Vanggey Kuala Lumpur
4,Restoran Baan Thai
4,Golden Arches Restaurants Sdn
4,Law Yi Restaurant
4,Tea Garden Restaurant (sp) Sdn. Bhd.
4,Zatimanis Restaurant
4,Prishas Curry House
4,Restoran Pucuk Di Cita
4,Al Haramine Products & Marketing Sdn. Bhd.
4,Restoran Hasilath Food Corner
4,Eleven Brothers Restaurant
4,Hadramawt Kitchen Sdn. Bhd.
4,Da Gan Guo Restaurant
4,Berjaya Starbucks Coffee Company Sdn Bhd
4,Sukiya Sdn Bhd
4,Restoran B & M
4,Blue Ribbon Restaurant Sdn. Bhd.
4,Halwa Al Azra Cafe
4,Al Nafoura Sdn Bhd
4,Restoran Genting Klang
4,Alrachid Restaurant Sdn Bhd
4,Restoran Almaaz
4,New Highland Steamboat Restaurant
4,Sweet Forest Cafe
4,Broaden Asia Management Sdn Bhd
4,Fs Burger
4,Jh Restaurant Sdn Bhd
4,Restoran Periuk Belanga
4,Resepi Nenek Kopitiam Sdn Bhd
4,Patatimo Sdn Bhd
4,Rich Circle F&B Sdn Bhd
4,Berjaya Roasters (M) Sdn Bhd
4,Qsr Stores Sdn Bhd
4,NZ Retails Sdn Bhd
4,Nasi Kandar Jamal Mohamed
4,Berjaya Starbucks Coffee Company Sdn Bhd
4,Mee Sim And Pin Sim
4,Fine Foodstuff Resources
4,Restoran Ali Maju Sdn Bhd
4,Supreme 2000 Sdn Bhd
4,Surawon Sdn Bhd
4,Restoran Hijrath
4,Dynasun Sdn Bhd - (Aeon Wangsa Maju)
4,Ncr Concept Sdn Bhd
4,The Old London Cafe
4,Restoran Nasi Kandar Deen
4,Mal Mubarak Bistro
4,Raso Omakden Enterprise
4,Delicious Barbeque Sdn Bhd - (KL Festival City)
4,Qing Fang Global Foods Resources (M) Sdn Bhd
4,Jombali Sdn Bhd
4,Old Town Kopitiam Sdn Bhd
4,Berjaya Roasters (M) Sdn Bhd
4,Face To Face Restaurant
4,Bee Won Korean Cuisine Sdn. Bhd.
4,A&W (Malaysia) Sdn Bhd - Banda (Wangsa Walk)
4,Restoran Kak Chik
4,The Coffee Bean & Tea Leaf (M) Sdn Bhd - KL Festival City
4,Mba Crew Sdn Bhd
4,Qin Zhe Sdn Bhd
4,Dommal Food Services Sdn Bhd
4,Phd Delivery Danau Kota
4,Canton Kitchen Sdn Bhd
4,Me'nate Steak Hub (Setapak)
4,OldTown White Coffee Jusco Alpha Angel
4,OldTown White Coffee Sri Rampai
4,OldTown White Coffee Danau Kota
4,Sushi King AEON Big Wangsa Maju
4,Sushi King KL Festival Mall
4,A&W (Wangsa Walk)
4,The Manhattan Fish Market (Wangsa Walk)
4,Pizza Hut Genting Klang
4,Pizza Hut Danau Kota
4,Kenny Rogers Roasters Setapak Central
4,Kenny Rogers Roasters Setapak
4,Domino's Pizza (WANGSA MAJU )
4,Domino's Pizza (SRI RAMPAI )
4,Domino's Pizza (SETAPAK)
4,The Chicken Rice Shop (Setapak Central Mall )
4,The Chicken Rice Shop (Jusco Alpha Angle )
4,KFC Wangsa Maju
4,Nando's Chicken AEON Alpha Angle
4,Nando's Chicken Festival City Mall
4,Papparich (SRI RAMPAI)
4,KFC Genting Klang
4,Kenny Rogers Roasters Alpha Angle
4,Kenny Rogers Roasters KL Festival City
4,Secret Recipe (WANGSA WALK)
4,The Chicken Rice Shop (Aeon Big Wangsa Maju)
4,McDonald's Carrefour Wangsa Maju
4,Zuraina Abd Majid
4,Tiang Ah Tee
4,Restoran Bunga Emas
4,Chan Seng Hoong
4,Tan Kok Kin
4,Tee Tean Aik
4,Restoran Seafood Thiam Hua
4,Butter Block KS
4,Circle F&B Sdn Bhd
5,Marco Polo Restaurant
5,Sahara Tent Restoran
5,KL Coffee Club Sdn Bhd
5,Teafe (M) Sdn Bhd - KL Citywalk
5,Kedai Makanan Wong Mei Kee
5,Restoran Vojon Bilas
5,Restoran Thai Sabye-sabye Sdn. Bhd.
5,First Marshal (M) Sdn Bhd
5,Bbq Spice Restaurant (m) Sdn. Bhd.
5,Lc Cafe
5,Restoran Cuba Rasa Istimewa
5,Angelucci Sdn Bhd
5,Mont Oro (M) Sdn Bhd
5,Berjaya Krispy Kreme Doughnuts Sdn Bhd
5,Restoran Hua Wei Sdn. Bhd.
5,Abs One Bistro Sdn. Bhd.
5,Prima Pengkalan Sdn Bhd
5,Koryo-won Fusion Restaurant Sdn. Bhd.
5,Restoran Mezban Chittagong Sdn. Bhd.
5,Koryo-won Fusion Restaurant Sdn. Bhd.
5,Tokutoku Japannese Restaurant Sdn.bhd
5,Greatfun Restaurants Sdn. Bhd.
5,Fnb Concept Sdn Bhd
5,Ths Restaurants Sdn. Bhd.
5,Restoran M.s. Star
5,Restoran Mesti Cuba
5,Phd Delivery Jalan Imbi
5,Sek Yuen Restaurant
5,Starbucks Coffee (Pavilion KL)
5,The Coffee Bean & Tea Leaf (Pavilion KL)
5,Johnny Rockets (Pavilion KL)
5,Dolly Dim Sum (Pavilion KL)
5,U-Cafe Sdn Bhd
5,Hb Gourmet Desserts Sdn Bhd
5,Hafila Maju Sdn Bhd
5,Azzurro Sdn Bhd
5,Euro Wings Sdn Bhd
5,Bavarian Bierhaus
5,Aldemshqi Trading Sdn Bhd
5,Nice Life Healthy (F&B) Sdn Bhd
5,Divers Paradise Cafe Sdn. Bhd.
5,Cheezy & Coffee Sdn Bhd
5,The Coffee Bean & Tea Leaf (M) Sdn Bhd - KL Pavillion
5,The Coffee Bean & Tea Leaf (M) Sdn Bhd - Wisma Genting
5,The Coffee Bean & Tea Leaf (M) Sdn Bhd - Prince Court Hospital
5,The Coffee Bean & Tea Leaf (M) Sdn Bhd - Suria KLCC
5,The Coffee Bean & Tea Leaf (M) Sdn Bhd - Wisma Selangor Dredging
5,Chakri Group Of Restaurants (m) Sdn. Bhd.
5,Crave Oyster & Seafood House Sdn Bhd
5,Am Fazlina Maju Curry House
5,Bryanpaul Cafe
5,Grand Saisaki Sdn Bhd
5,Central Steak Restaurant
5,Gogung Fusion Restaurant (klcc) Sdn Bhd
5,Honyun Restaurant Sdn. Bhd.
5,Asian Kitchen (M) Sdn Bhd
5,Andalas Restaurant
5,Leng For Leng Tong Restaurant
5,Daily Bread Cafe Sdn. Bhd.
5,Restoran Xi An Xiao Chu Sdn Bhd
5,Drift Hospitality Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Tai Thong Group Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Berjaya Starbucks Coffee Company Sdn Bhd
5,Gui Zhou Yong Rou Fen Restaurant
5,Akarumi Sdn. Bhd.
5,Berjaya Burger Sdn Bhd
5,Berjaya Burger Sdn Bhd
5,Restoran Oversea (imbi) Sdn. Bhd.
5,Gourmet Kitchen Sdn Bhd
5,Pier Seafood Sdn Bhd
5,Chang Chang Lai Restaurant Sdn Bhd
5,Tea Junction Cafe Sdn Bhd
5,Executive Coffee Sdn. Bhd.
5,Executive Coffee Sdn. Bhd.
5,Lu Ding Ji Restaurant Sdn. Bhd.
5,Restoran Hong La Qiao (m) Sdn. Bhd.
5,Restoran Minmax Sdn Bhd
5,Alexis Group Sdn. Bhd.
5,Bujang Valley Restaurant Sdn. Bhd.
5,Teo Chew Restaurant
5,Restoran Sup Al Deen
5,Ozeki Italian Restaurant
5,Paradise Reyan Sdn Bhd
5,Lao A Po Restaurant Sdn. Bhd.
5,Sushi Jiro Sdn Bhd
5,San Francisco Coffee (Wisma UOA 2)
5,Restoran Pride Of India Sdn. Bhd.
5,Restoran Pride Of India Sdn. Bhd.
5,Elie Cafe
5,Line Clear Curry House Sdn Bhd
5,Red Lobster Restaurant Sdn Bhd
5,Red Lobster Restaurant Sdn Bhd
5,Tetrasol (M) Sdn Bhd
5,Rokko Restaurant Sdn. Bhd
5,Restoran Hidangan Samudra
5,AFC Ali Corner
5,Fuzio Bar & Restaurant Sdn.bhd.
5,Ghazal Mahel Sdn Bhd
5,Dongfang Restaurant & Hotel Sdn. Bhd.
5,Soulmate Coffee & Cafe
5,Capitol Cafe Sdn Bhd
5,Urban Bar Concept Sdn Bhd
6,Restoran Fl Sdn. Bhd.
6,Restoran Boraq Zam Zam
6,Aiman Lifestyle Sdn Bhd
6,The Chemistry Cafe
6,Restoran Nasi Vanggey Kuala Lumpur
6,Restoran Hasilath Food Corner
6,Wonder Lifestyle Restaurants Sdn. Bhd.
6,Restoran Almaaz
6,Resepi Nenek Kopitiam Sdn Bhd
6,Patatimo Sdn Bhd
6,Pampas Burger Sdn Bhd
6,Wan Chopati Sdn Bhd
6,Restoran Ali Maju Sdn Bhd
6,Mal Mubarak Bistro
6,Restoran Kak Chik
6,Dommal Food Services Sdn Bhd
6,Phd Delivery Setiawangsa
6,Canton Kitchen Sdn Bhd
6,OldTown White Coffee Sri Rampai
6,Sushi King AEON Big Wangsa Maju
6,Domino's Pizza (SRI RAMPAI )
6,Domino's Pizza (JELATEK)
6,Restoran Wadi Daw'an
6,KFC Setiawangsa
6,Le Geo Art Restaurant
6,Papparich (SRI RAMPAI)
6,McDonald's Setiawangsa DT
6,Secret Recipe (WANGSA WALK)
6,Kenny Rogers Roasters Jusco Au2 Keramat
6,Zuraina Abd Majid
6,Mohd Nasir M Yassin
6,Chan Seng Hoong
6,Restoran Seafood Thiam Hua
6,Al Nur Foods Indust Sdn Bhd
6,Butter Block KS
6,Circle F&B Sdn Bhd
6,Mutiara Ace Marketing Sdn Bhd
7,Cosmo Restaurants Sdn Bhd
7,Rahasiyam Kl Bar & Cafe
7,Phd Delivery Desa Sri Hartamas
7,Hotaru Japanese Cafe
7,Kobayashi Japanese Rstnt
7,Rock Salt Restaurant (m) Sdn. Bhd.
7,The Coffee Bean & Tea Leaf (M) Sdn Bhd - Plaza Sri Hartamas
7,Liberal Latte Coffee Trade
7,Apple Melon Village Sdn Bhd
7,Jkd Hospitality Sdn. Bhd.
7,GCL Concept Sdn Bhd
7,Restoran Sri Emas
7,Tai Thong Group Sdn Bhd
7,Berjaya Starbucks Coffee Company Sdn Bhd
7,Berjaya Starbucks Coffee Company Sdn Bhd
7,Berjaya Starbucks Coffee Company Sdn Bhd
7,Berjaya Burger Sdn Bhd
7,Empresso Restaurant Sdn Bhd
7,Grounded Cafe
7,Sushi Akami Cafe
7,Restoran Bestari
7,Elephant Cricket Restaurant Sdn Bhd
7,All You Can Eat Restaurant Sdn Bhd
7,Absolute Luxury Restaurant Sdn Bhd
7,Recomio Synergy Sdn Bhd
7,Anjung Niaga Sdn Bhd
7,KLCoffee Club Sdn Bhd
7,Secret Menu Sdn Bhd
7,Sukiya Sdn Bhd
7,Whisk Sdn Bhd
7,Lush Bowl Sdn Bhd
7,Dc F&b Management Sdn Bhd
7,Dc F&b Management Sdn Bhd
7,Dc F&b Management Sdn Bhd
7,Restoran Ali Maju Sdn Bhd
7,Unique Recipe Sdn Bhd
7,Jumbo Rock Sdn Bhd
7,Kunio Kuwabara Sdn Bhd
7,Cheerio Ventures Sdn Bhd
7,Malabar Palace Restaurant Sdn Bhd
7,Platinum Phoenix Sdn Bhd
7,Maxim Image Sdn Bhd
7,Vivente Sdn Bhd
7,Tangent Corporation Sdn Bhd
7,Sushi Train (Malaysia) Sdn Bhd
7,Sushi Train (Malaysia) Sdn Bhd
7,Restoran Imthiyaz
7,Malt Resources Sdn Bhd
7,Baker Dave
7,Super Sushi Sdn Bhd
7,Fong Lye Restaurant (Sri Hartamas) Sdn Bhd
